Name,Image,CountryCode,Number
Špageti BIO,https://www.barilla.com//-/media/images/hr_hr/3d_real_16225_bio_nvi_spaghetti_500g_eu_3129_v1_front.png,HRV,5
SPAGHETTI,https://www.barilla.com//-/media/images/tr_tr/products/groups/ranges/academia_tr/academia_spaghetti.png,TUR,5
Bezlepkové Spaghetti,https://www.barilla.com//-/media/images/cs_cz/img_aktualizace/spaghetti_143x210.png,CZE,5
Spaghetti,https://www.barilla.com//-/media/images/ca/products/new-product-shots/spaghetti.png,CAN,5
Al Bronzo Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/al-bronzo/barilla_al-bronzo_spaghetti_pasta_packaging.png,USA,5
Spaghetti Al Bronzo,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/al-bronzo-boxes_sv/3dfspaghettialbronzo400g-1previewrev1.png,SWE,5
Spaghetti de lentilles corail,https://www.barilla.com//-/media/images/ch/products/groups/ranges/huelsenfruechte/2022_barilla_pasta_aus_huelsenfruechten_spaghetti_rote_linsen_8076809577021_250g_front.png,CHE,5
Spaghetti 5 Cereali,https://www.barilla.com//-/media/images/pt_br/products/groups/ranges/5-cereali/5cereali_spaghetti_400g_front/spaghetti-5-cereali/3df_3030041740_1000014569spaghetti400x205cerealiita-(1).png,BRA,5
Spaghetti Integrali,https://www.barilla.com//-/media/images/it_it/products/aggiornamento_pasta_integrale/2023/integrale_spaghetti_new.png,ITA,5
Bezglutenski špageti,https://www.barilla.com//-/media/images/hr_hr/3d_real_14686_sg_nvi_spaghetti_400g_eu_3129_v1_front.png,HRV,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/pl_pl/products/groups/ranges/wholewheat_pl/new_barilla_in_spaghetti.png,POL,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/integrale/3dreal16238integnvispaghetti500geu3129v1front-1png.png,DEU,5
Espagueti Integral,https://www.barilla.com//-/media/images/es_pr/products/groups/ranges/whole-grain/whole_grain_spaghetti_front_v2.png,PRI,5
Spaghetti aus roten Linsen,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/huelsenfruechte/2022_barilla_pasta_aus_huelsenfruechten_spaghetti_rote_linsen_8076809577021_250g_front.png,DEU,5
Whole Grain Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/whole-grain/whole_grain_spaghetti_front_v2.png,USA,5
Spaghetti Al Bronzo,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/al-bronzo/spaghetti_al_bronzo_400g.png,FRA,5
Gluten Free Spaghetti,https://www.barilla.com//-/media/images/en_au/products/groups/ranges/gluten-free/3d_real_22402_gf_nvi_spaghetti_340g_aus_118431as_v1_front.png,AUS,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/cs_cz/img_aktualizace/spaghettiintegrale500g10000162388076809529419002-1300x87.png,ROU,5
SPAGHETTI AL BRONZO,https://www.barilla.com//-/media/images/hr_hr/3df_spaghetti_al_bronzo_400gfront.png,HRV,5
Špageti integralni br.5,https://www.barilla.com//-/media/images/hr_hr/3d_real_16235_integ_nvi_spaghetti_500g_eu_3129_v1_front.png,HRV,5
Red Lentil Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/legumes/2023-legume-packaging-update/barilla_red-lentil-spaghetti_pasta_2023.png,USA,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/pt_br/products/groups/ranges/whole-grain/integrale_cottura_9_300x87.png,BRA,5
Volkoren-spaghetti,https://www.barilla.com//-/media/images/be/products/groups/ranges/integrale_be/3df_real_16235_integr_spaghetti_5_500g_new_3129_v1.jpg,BEL,5
Spaghetti,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/ekologisk_sv/3df_3030028831_1000013732_spaghetti_bio_500g/3d_15060_bio_spaghetti_500g_fronte_v2.png,DNK,5
Whole Grain Spaghetti,https://www.barilla.com//-/media/images/en_sg/products/groups/ranges/whole-grain/3df_spaghetti_wholegrain_productimage.png,SGP,5
Chickpea Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/legumes/2023-legume-packaging-update/barilla_chickpea-spaghetti_pasta_2023.png,USA,5
TAM BUĞDAY SPAGHETTI,https://www.barilla.com//-/media/images/tr_tr/products/groups/ranges/integrale_tr/integrali_spaghetti_02.png,TUR,5
Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/classic-blue-box/blue-box-packaging-refresh-2022/barilla_spaghetti-pasta.png,USA,5
Spaghetti Senza Glutine,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/glutenfrei/3d_real_11409_sg_nvi_spaghetti_400g_eu_3129_v1_front.png,DEU,5
Spaghetti Glutenvrij,https://www.barilla.com//-/media/images/be/products/groups/ranges/gluten-free/spaghetti_sg_pack_new.png,BEL,5
Espagueti Protein+™ ,https://www.barilla.com//-/media/images/es_pr/products/groups/ranges/proteinplus/proteinplus_spaghetti_2021.png,PRI,5
Spaghetti Senza Glutine,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/gluten-free/new/senza_glutine_spaghetti_300px.png,ITA,5
Spaghetti Rigati,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/classic-blue-box/blue-box-packaging-refresh-2022/barilla_spaghetti-rigate-pasta.png,USA,5
Spaghetti Al Bronzo,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/al_bronzo/spaghetti_al_bronzo_400g_fr.png,ITA,5
Protein+® Spaghetti ,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/proteinplus/proteinplus_spaghetti_2021.png,USA,5
Spaghetti Glutenfri,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/glutenfri_sv/gluten-free-2023/3d_real_11409_sg_nvi_spaghetti_400g_eu_3129_v1_front_80.png,SWE,5
Spaghetti od crvene leće,https://www.barilla.com//-/media/images/hr_hr/legumesspaghetti.png,HRV,5
Spaghetti de lentejas rojas,https://www.barilla.com//-/media/images/es_es/products/groups/ranges/classic-es/_0002_3df_3030030471_1000012612spaghetti500g_intl/spaghettibiothumb/spaghetti_lentilles_corail_pack.png,ESP,5
Spaghetti Integral,https://www.barilla.com//-/media/images/es_es/products/groups/ranges/integrale-es/_0004_3df_10794_integr_spaghetti_5_500g/_0004_3df_10794_integr_spaghetti_5_500g_new.png,ESP,5
Gluten Free Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/gluten-free/barilla_glutenfree_spaghetti_packaging_309x87px.png,USA,5
Spaghetti Al Bronzo,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/al-bronzo/packshot/albronzo_spaghetti_400g_frontal_1000020465_8076809581127removebgpreview.png,DEU,5
Espagueti,https://www.barilla.com//-/media/images/es_pr/new-products-2023/pastas-largas/5181067253barillaspaguetticopy.png,PRI,5
Spaghetti,https://www.barilla.com//-/media/images/en_sg/products/groups/ranges/classic-blue-box/3df_spaghetti_productimage.png,SGP,6
Spaghettoni,https://www.barilla.com//-/media/images/es_es/products/groups/ranges/classic-es/_0003_3df_3030030467_1000012613spaghettoni25x500gintl.png,ESP,7
Spaghettoni,https://www.barilla.com//-/media/images/sl_si/spaghettoni.png,SVN,7
Spaghettoni N°7,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/classiques/pack_nvi/3df_bbnvi_spaghettoni_500g_eu.png,FRA,7
ספגטוני (מס' 7),https://www.barilla.com//-/media/images/he_il/products/il-products/klassiekers_pack_spaghettoni_new.webp,ISR,7
Spaghettoni,https://www.barilla.com//-/media/images/cs_cz/products/groups/ranges/klassische_sorten/barilla_spaghettoni.png,CZE,7
Spaghettoni,https://www.barilla.com//-/media/images/ch/products/groups/ranges/klassische_sorten/2022/spaghettoni_302x87.png,CHE,7
Spaghettoni,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/klassische_sorten/2022/spaghettoni_302x87.png,DEU,7
Spaghetti No. 7,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_spaghetti_no7_500g.png,MEX,7
Spaghettoni,https://www.barilla.com//-/media/images/el_gr/products/groups/ranges/classic-gr/3df_3030030023_1000675007spaghettoni25x500ggrecia.png,GRC,7
Spaghettoni,https://www.barilla.com//-/media/images/en_sg/products/groups/ranges/classic-blue-box/3df_spaghettoni_productimage.png,SGP,7
Spaghettoni,https://www.barilla.com//-/media/images/en_au/products/groups/ranges/classic-blue-box/spaghettoni_nvi.png,AUS,7
Spaghettoni ,https://www.barilla.com//-/media/images/be/products/groups/ranges/classiques_be/8076808150072-bb_spaghettoni_7_500g.png,BEL,7
Spaghetti Grossi n.7,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/classici_pack_nvi/spaghetti_grossi_7_500g.png,ITA,7
Spaghettoni,https://www.barilla.com//-/media/images/pl_pl/products/groups/ranges/classic_pl/barilla_spaghettoni_500g.png,POL,7
Spaghettoni,https://www.barilla.com//-/media/images/nl_nl/products/groups/ranges/klassische_sorten_nl/new/klassiekers_pack_spaghettoni_new.png,NLD,7
Spaghettoni,https://www.barilla.com//-/media/images/hr_hr/spaghettoni.png,HRV,7
Spaghettoni,https://www.barilla.com//-/media/images/pt_br/mockups_blue_box/3df_bbnvi_spaghettoni_500g_eu_3129_v11.png,BRA,7
Spaghettoni,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/klassikere_sv/spaghettoni.png,SWE,7
Spaghettoni n.8,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/classici_pack_nvi/spaghettoni_8_500g.png,ITA,8
Espaguete 8 Barilla,https://www.barilla.com//-/media/images/pt_br/products/cards/massa-com-ovos/novo/fb_aw_3d_11151_swwe_espaguete_8_500g_blu_v1.png,BRA,8
